id,firstName,lastName,mainPhone,mobilePhone,email,createdAt,updatedAt,deletedAt
0e8bef06-842d-43e8-8f9b-3125f6dd7789,Customer0,Lastname0,555-2824,555-1409,customer0@example.com,2024-09-26 12:43:08.807780,2024-09-26 12:43:08.807784,
06d68488-435a-4a4d-bfb7-1eeb9c1561ad,Customer1,Lastname1,555-5506,555-5012,customer1@example.com,2024-09-26 12:43:08.807820,2024-09-26 12:43:08.807821,
7f3ce761-0659-4384-99ec-977078db8e87,Customer2,Lastname2,555-4657,555-3286,customer2@example.com,2024-09-26 12:43:08.807859,2024-09-26 12:43:08.807860,
69fb9583-a1db-4ffc-b8d1-51773a7d629c,Customer3,Lastname3,555-2679,555-9935,customer3@example.com,2024-09-26 12:43:08.807896,2024-09-26 12:43:08.807896,
5bd73830-efdb-46a4-b8fa-bed41fc16d37,Customer4,Lastname4,555-2424,555-7912,customer4@example.com,2024-09-26 12:43:08.807930,2024-09-26 12:43:08.807931,
5ed795b2-3f38-41d2-add8-91a2db9ffec5,Customer5,Lastname5,555-1520,555-1488,customer5@example.com,2024-09-26 12:43:08.807950,2024-09-26 12:43:08.807951,
58e4a5d1-0fd0-4bff-a6b5-2632b6e46bff,Customer6,Lastname6,555-2535,555-4582,customer6@example.com,2024-09-26 12:43:08.807974,2024-09-26 12:43:08.807975,
adbf5fb9-0657-4b1b-a8d5-10c3a9f51fd1,Customer7,Lastname7,555-4811,555-9279,customer7@example.com,2024-09-26 12:43:08.807994,2024-09-26 12:43:08.807995,
d1a3b2b1-0818-46f7-a39c-d05d5ea67f8e,Customer8,Lastname8,555-1434,555-4257,customer8@example.com,2024-09-26 12:43:08.808007,2024-09-26 12:43:08.808007,
a164a934-2710-4563-bb35-60d7bfa292e6,Customer9,Lastname9,555-9928,555-7873,customer9@example.com,2024-09-26 12:43:08.808165,2024-09-26 12:43:08.808166,
e1fc0da6-4b3c-413d-9974-50f5bf6ca0bd,Customer10,Lastname10,555-4611,555-8359,customer10@example.com,2024-09-26 12:43:08.808180,2024-09-26 12:43:08.808180,
c1c21fe1-334c-488c-9135-57364b58525b,Customer11,Lastname11,555-5557,555-1106,customer11@example.com,2024-09-26 12:43:08.808192,2024-09-26 12:43:08.808192,
85199da5-00be-459c-88c4-6f7ac6718496,Customer12,Lastname12,555-3615,555-7924,customer12@example.com,2024-09-26 12:43:08.808203,2024-09-26 12:43:08.808204,
3b1e8510-3009-465c-a0b3-94430092f85a,Customer13,Lastname13,555-6574,555-5552,customer13@example.com,2024-09-26 12:43:08.808215,2024-09-26 12:43:08.808215,
731cac87-15d5-4035-82a1-7ce2226be8e5,Customer14,Lastname14,555-3547,555-4527,customer14@example.com,2024-09-26 12:43:08.808226,2024-09-26 12:43:08.808227,
1f72ea3f-0bdc-436f-be77-447b0f2c0715,Customer15,Lastname15,555-6514,555-2674,customer15@example.com,2024-09-26 12:43:08.808238,2024-09-26 12:43:08.808239,
36568b24-b2d2-4473-a86c-1e8d7b53535a,Customer16,Lastname16,555-2519,555-7224,customer16@example.com,2024-09-26 12:43:08.808253,2024-09-26 12:43:08.808253,
1f9e5c9b-6a6f-4c59-a67f-b4bcb4a146e4,Customer17,Lastname17,555-2584,555-6881,customer17@example.com,2024-09-26 12:43:08.808269,2024-09-26 12:43:08.808270,
3b1cc4c7-befb-4f70-864a-7c7d33002d9b,Customer18,Lastname18,555-6635,555-5333,customer18@example.com,2024-09-26 12:43:08.808280,2024-09-26 12:43:08.808281,
7643999d-3ac3-4925-95bf-5d5934d2e5e8,Customer19,Lastname19,555-1711,555-8527,customer19@example.com,2024-09-26 12:43:08.808296,2024-09-26 12:43:08.808297,
c7117e25-9d6e-4074-b05d-8eef0b763480,Customer20,Lastname20,555-9785,555-3045,customer20@example.com,2024-09-26 12:43:08.808307,2024-09-26 12:43:08.808308,
ae2acca8-fd30-47d1-b784-5cde41dfbbc7,Customer21,Lastname21,555-7201,555-2291,customer21@example.com,2024-09-26 12:43:08.808319,2024-09-26 12:43:08.808319,
33f802b2-60df-448b-b7d4-c7be147d030f,Customer22,Lastname22,555-5803,555-6925,customer22@example.com,2024-09-26 12:43:08.808331,2024-09-26 12:43:08.808332,
a22f6ef8-5406-42bb-b6df-22b4d3b8f4d3,Customer23,Lastname23,555-4150,555-2139,customer23@example.com,2024-09-26 12:43:08.808344,2024-09-26 12:43:08.808345,
27809810-7478-4aec-b36f-1e3b9bea928a,Customer24,Lastname24,555-1750,555-4733,customer24@example.com,2024-09-26 12:43:08.808358,2024-09-26 12:43:08.808359,
7e1930d6-98c1-4b28-ac88-7e9fc5948796,Customer25,Lastname25,555-5741,555-2307,customer25@example.com,2024-09-26 12:43:08.808371,2024-09-26 12:43:08.808372,
b155adc4-8243-46a6-99be-252f7291159b,Customer26,Lastname26,555-4814,555-2654,customer26@example.com,2024-09-26 12:43:08.808384,2024-09-26 12:43:08.808385,
69e0e9d4-f7a4-451d-905b-805bd225ec93,Customer27,Lastname27,555-7227,555-5554,customer27@example.com,2024-09-26 12:43:08.808397,2024-09-26 12:43:08.808398,
edd45bd6-8916-40a9-bc24-6e613cfc7458,Customer28,Lastname28,555-8428,555-6977,customer28@example.com,2024-09-26 12:43:08.808410,2024-09-26 12:43:08.808411,
146fdd7d-56ef-4770-8b4b-45f1f87d034e,Customer29,Lastname29,555-3664,555-7065,customer29@example.com,2024-09-26 12:43:08.808425,2024-09-26 12:43:08.808426,
63497c89-9f46-4057-a01a-92fd8638e617,Customer30,Lastname30,555-6820,555-4432,customer30@example.com,2024-09-26 12:43:08.808441,2024-09-26 12:43:08.808442,
dcb42146-ebc7-4aed-961f-127cfdef6c51,Customer31,Lastname31,555-5374,555-2169,customer31@example.com,2024-09-26 12:43:08.808454,2024-09-26 12:43:08.808455,
ec5f4bf8-0ed9-4146-8f89-80ac1de665cb,Customer32,Lastname32,555-3803,555-9751,customer32@example.com,2024-09-26 12:43:08.808468,2024-09-26 12:43:08.808469,
a818f3a6-4230-46a2-b3f2-263e8be72293,Customer33,Lastname33,555-5010,555-3677,customer33@example.com,2024-09-26 12:43:08.808488,2024-09-26 12:43:08.808489,
19698930-bcb9-4aa0-a195-76c0ed57f4c8,Customer34,Lastname34,555-8573,555-7216,customer34@example.com,2024-09-26 12:43:08.808501,2024-09-26 12:43:08.808501,
